Container,Last Activity,Location,Loaction2,Date,Vessel/Voyage,Bol#
ZCSU8356810 HC40 , Empty container returned from Customer, ATLANTA (GA), U.S.A., 18-Dec-2018, ,ZIMUSEL200190230
ZCSU8864616 HC40 , Empty container returned from Customer, ATLANTA (GA), U.S.A., 13-Dec-2018, ,ZIMUSEL200190231
ZCSU8973767 HC40 , Empty container returned from Customer, ATLANTA (GA), U.S.A., 12-Dec-2018, ,ZIMUSEL200190232
ZCSU8987863 HC40 , Direct move from Import to Export (Im), ATLANTA (GA), U.S.A., 06-Dec-2018, BILBAO BRIDGE/151   ,ZIMUSEL200190233
ZCSU8890960 HC40 , Direct move from Import to Export (Im), ATLANTA (GA), U.S.A., 06-Dec-2018, BILBAO BRIDGE/151   ,ZIMUSEL200190234
TEMU6796014 HC40 , Empty container returned from Customer, ATLANTA (GA), U.S.A., 12-Dec-2018, ,ZIMUSEL200190235
ZCSU8356810 HC40 , Empty container dispatched from inland point to Customer, PUSAN, KOREA. REPUBLIC OF, 18-Oct-2018 13:11,  MAERSK TAIKUNG/1     ,ZIMUSEL200190236
ZCSU8356810 HC41, Export Gate-In to Port of Loading , PUSAN, KOREA. REPUBLIC OF, 18-Oct-2018 22:13,  MAERSK TAIKUNG/1     ,ZIMUSEL200190237
ZCSU8356810 HC42, Container was loaded at Port of Loading to Port of Discharge, PUSAN, KOREA. REPUBLIC OF, 01-Nov-2018 17:10,  MAERSK SEMARANG/3     ,ZIMUSEL200190238
ZCSU8356810 HC43, Container was discharged at Port of Destination, SAVANNAH (GA), U.S.A., 28-Nov-2018 09:10,  MAERSK SEMARANG/3     ,ZIMUSEL200190239
ZCSU8356810 HC44, Import rail departure from Port of Discharge to intermediate place, SAVANNAH (GA), U.S.A., 28-Nov-2018 16:33,  MAERSK SEMARANG/3     ,ZIMUSEL200190240
ZCSU8356810 HC45, Import rail arrival at intermediate point, ATLANTA (GA), U.S.A., 01-Dec-2018 07:05,  MAERSK SEMARANG/3     ,ZIMUSEL200190241
ZCSU8356810 HC46, Container is available to be released / delivered, ATLANTA (GA), U.S.A., 01-Dec-2018 16:27, ,ZIMUSEL200190242
