Container,Last Activity,Location,Loaction2,Date,Vessel/Voyage,Bol#
ZCSU8943839 , Empty container returned from Customer, SAVANNAH (GA), U.S.A., 03-Dec-2018, ,ZIMUSEL766829
ZCSU8943840, Empty container dispatched from inland point to Customer, PUSAN, KOREA. REPUBLIC OF, 19-Oct-2018 08:01,  MAERSK TAIKUNG/1     ,ZIMUSEL766830
ZCSU8943841, Export Gate-In to Port of Loading , PUSAN, KOREA. REPUBLIC OF, 20-Oct-2018 10:02,  MAERSK TAIKUNG/1     ,ZIMUSEL766831
ZCSU8943842, Container was loaded at Port of Loading to Port of Discharge, PUSAN, KOREA. REPUBLIC OF, 26-Oct-2018 06:20,  MAERSK TAIKUNG/1     ,ZIMUSEL766832
ZCSU8943843, Container was discharged at Port of Destination, SAVANNAH (GA), U.S.A., 21-Nov-2018 10:29,  MAERSK TAIKUNG/1     ,ZIMUSEL766833
ZCSU8943844, Container is available to be released / delivered, SAVANNAH (GA), U.S.A., 21-Nov-2018 19:07, ,ZIMUSEL766834
ZCSU8943845, Import truck departure from Port of Discharge to Customer, SAVANNAH (GA), U.S.A., 28-Nov-2018 13:13,  MAERSK TAIKUNG/1     ,ZIMUSEL766835
